Country,Date,Value,School_closures,Workplace_Closures,Cancel_public_events,Restrictions_on_gatherings,Close_public_transport,Stay_at_home_requirements,Restrictions_on_internal_movement,International_travel_controls,Income_support,Debt/contract_relief,Fiscal_measures,International_support,Public_information_campaigns,Testing_policy,Contact_tracing,Emergency_investment_in_health_care,Investment_in_Vaccines,Stringency_Index
Mexico,2020-03,3.267292,0.8709677419354839,0.5806451612903226,0.5161290322580645,0.5806451612903226,0.06451612903225806,0.12903225806451613,0.3225806451612903,1.7096774193548387,0.0,0.0,0.0,0.0,0.5161290322580645,0.0,1.0,236774193.5483871,0.0,19.923870967741934
Mexico,2020-04,4.7,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,166800000.0,0.0,2.0,0.8333333333333334,1.0,0.0,0.0,82.41
Mexico,2020-05,4.2,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,82.40999999999998
Mexico,2020-06,5.5,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,71.51199999999997
Netherlands,2020-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.0
Netherlands,2020-02,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20689655172413793,0.0,0.0,0.0
Netherlands,2020-03,2.9,1.6774193548387097,1.7419354838709677,1.4193548387096775,1.935483870967742,0.03225806451612903,1.1290322580645162,0.5483870967741935,1.2580645161290323,0.967741935483871,0.12903225806451613,354066095.2903226,0.0,1.4838709677419355,1.0,1.3548387096774193,0.0,0.0,44.264838709677406
Netherlands,2020-04,3.4,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,4061138.1,0.0,2.0,1.0,1.0,856720.1,0.0,79.63000000000007
Netherlands,2020-05,3.6,2.3225806451612905,2.3225806451612905,2.0,3.0,1.0,1.3225806451612903,1.0,3.0,2.0,1.0,490874175.16129035,0.0,2.0,1.0,1.0,0.0,0.0,72.10387096774193
Netherlands,2020-06,4.3,1.4666666666666666,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,121651.7,0.0,2.0,2.0,2.0,0.0,0.0,60.98666666666667
Netherlands,2020-07,4.5,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,39.80999999999997
Norway,2020-01,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.3583870967741935
Norway,2020-02,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13793103448275862,0.0,37274.137931034486,134186.89655172414,11.110000000000008
Norway,2020-03,3.6,1.935483870967742,1.3548387096774193,0.5161290322580645,1.8709677419354838,0.6451612903225806,0.0,1.032258064516129,2.2580645161290325,0.7741935483870968,1.2258064516129032,596038895.5806452,46416.087096774194,2.0,1.0,0.0,455337.0967741936,6141032.258064516,46.684193548387114
Norway,2020-04,4.1,2.6333333333333333,2.0,2.0,3.3333333333333335,1.0,0.0,1.6333333333333333,4.0,2.0,2.0,36084358.666666664,0.0,2.0,1.0,1.0,419412.6666666667,0.0,74.38133333333333
Norway,2020-05,4.6,0.6451612903225806,2.0,2.0,2.6774193548387095,0.41935483870967744,0.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,58.45193548387102
Norway,2020-06,5.2,0.0,1.0333333333333334,0.06666666666666667,2.466666666666667,0.0,0.0,1.0,3.466666666666667,2.0,2.0,0.0,0.0,2.0,1.9666666666666666,1.9666666666666666,0.0,0.0,37.344
Poland,2020-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,1.614193548387097
Poland,2020-02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103448275862069,0.0,0.0,0.0,0.0,6.134137931034484
Poland,2020-03,3.0,1.935483870967742,1.1612903225806452,1.4193548387096775,0.12903225806451613,0.0,0.06451612903225806,0.6774193548387096,2.3870967741935485,0.45161290322580644,0.22580645161290322,1636783612.903226,0.0,2.0,0.3225806451612903,0.0,10866789.161290323,0.0,41.45870967741936
Poland,2020-04,3.1,3.0,2.0,2.0,4.0,0.7333333333333333,1.2666666666666666,2.0,4.0,1.0,1.0,946445589.3333334,0.0,2.0,1.0,0.0,0.0,0.0,82.83666666666663
Poland,2020-05,3.3,2.774193548387097,2.0,1.935483870967742,3.870967741935484,1.0,0.9354838709677419,2.0,4.0,1.0,1.0,3829725.806451613,0.0,2.0,1.0,0.0,0.0,0.0,81.53838709677419
Poland,2020-06,3.3,2.0,2.0,1.0,2.0,1.0,0.0,0.06666666666666667,3.466666666666667,1.0,1.0,0.0,0.0,2.0,1.9666666666666666,1.9333333333333333,0.0,16912034.0,52.593000000000025
Poland,2020-07,3.2,2.0,2.0,0.25806451612903225,2.0,0.25806451612903225,0.0,0.0,3.0,1.0,1.0,1077210.7419354839,0.0,2.0,2.0,2.0,0.0,0.0,42.67967741935481
Portugal,2020-01,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.1935483870967742,0.3870967741935484,0.0,0.0,2.1503225806451614
Portugal,2020-02,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,11.110000000000008
Portugal,2020-03,6.2,2.0,1.7096774193548387,0.8387096774193549,1.6774193548387097,0.41935483870967744,0.8387096774193549,0.41935483870967744,2.129032258064516,0.6129032258064516,1.1290322580645162,335691612.9032258,0.0,2.0,1.1935483870967742,1.5483870967741935,0.0,0.0,47.432258064516134
Portugal,2020-04,6.3,3.0,3.0,2.0,4.0,1.0,2.0,1.1666666666666667,3.0,1.0,2.0,0.0,0.0,2.0,2.7,0.7,0.0,0.0,83.33500000000001
Portugal,2020-05,5.9,2.5483870967741935,2.096774193548387,2.0,4.0,1.0,1.096774193548387,1.096774193548387,3.0,1.0,1.5161290322580645,0.0,0.0,2.0,3.0,1.0,0.0,349026.77419354836,74.58322580645162
Portugal,2020-06,7.3,2.0,2.0,2.0,4.0,1.0,1.2,1.2,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,70.60500000000002
Portugal,2020-07,8.1,2.0,2.0,2.0,3.6774193548387095,1.0,2.0,1.7419354838709677,2.032258064516129,1.0,1.5161290322580645,0.0,0.0,2.0,3.0,1.0,0.0,0.0,68.2351612903226
Slovakia,2020-01,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,1.0,2.0,0.0,0.0,0.4483870967741935
Slovakia,2020-02,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.7800000000000007
Slovakia,2020-03,5.8,2.129032258064516,1.2258064516129032,1.5483870967741935,1.935483870967742,0.5806451612903226,0.6451612903225806,0.5161290322580645,2.7096774193548385,0.1935483870967742,0.9032258064516129,71703225.80645162,0.0,1.903225806451613,1.0,2.0,0.0,0.0,52.36
Slovakia,2020-04,6.4,3.0,2.0,2.0,3.2,1.0,1.2,1.2,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2054930.3,0.0,76.85300000000002
Slovakia,2020-05,6.5,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,73.15000000000005
Slovakia,2020-06,6.6,2.0,0.13333333333333333,0.13333333333333333,2.3,1.0,0.43333333333333335,1.0,2.7666666666666666,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,44.380666666666684
Slovakia,2020-07,6.8,2.0,0.0,0.0,2.0,0.8387096774193549,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.7419354838709677,2.0,0.0,0.0,37.51322580645163
Slovenia,2020-01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,2020-02,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,2020-03,4.3,1.5483870967741935,1.1612903225806452,0.8387096774193549,2.4516129032258065,1.032258064516129,0.5806451612903226,0.12903225806451613,2.129032258064516,0.06451612903225806,0.8387096774193549,107276437.70967741,0.0,1.8064516129032258,1.8064516129032258,1.8064516129032258,0.0,34437.95225806451,46.05612903225807
Slovenia,2020-04,4.7,3.0,2.6333333333333333,2.0,4.0,2.0,1.0,1.9333333333333333,3.0,1.0,2.0,72379666.0,0.0,2.0,2.0,2.0,0.0,0.0,88.083
Slovenia,2020-05,4.8,2.5483870967741935,1.096774193548387,2.0,3.4193548387096775,0.6451612903225806,0.41935483870967744,0.0,2.4193548387096775,1.0,2.0,34437952.46935484,0.0,2.0,2.0,2.0,0.0,546428.5714285715,56.272580645161334
Slovenia,2020-06,4.8,0.13333333333333333,0.0,2.0,2.033333333333333,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,33.87033333333335
Slovenia,2020-07,4.7,0.0,0.7741935483870968,2.0,2.3870967741935485,0.0,0.0,0.0,2.0,1.0,1.6129032258064515,0.0,0.0,2.0,2.0,2.0,0.0,0.0,37.27451612903225
Sweden,2020-01,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0
Sweden,2020-02,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Sweden,2020-03,6.8,0.45161290322580644,0.22580645161290322,0.0,1.3870967741935485,0.0,0.0,0.0,1.2580645161290323,1.3548387096774193,0.5161290322580645,262117451.61290324,137193.5483870968,1.4838709677419355,1.0,1.7096774193548387,224182.83870967742,0.0,18.10096774193548
Sweden,2020-04,7.9,1.0,1.0,1.0,3.0,0.0,0.0,0.9,3.0,2.0,1.0,494666.6666666667,0.0,2.0,1.0,1.0,0.001,330000.0,45.74399999999998
Sweden,2020-05,8.5,1.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1290322.5806451612,2.0,1.0,1.0,0.0,0.0,46.299999999999976
Sweden,2020-06,9.2,1.0,1.0,1.0,3.0,0.0,0.0,0.4,3.0,2.0,1.0,333333.3333333333,0.0,2.0,1.9,1.0,21400000.0,0.0,41.977333333333355
Sweden,2020-07,9.2,0.967741935483871,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,377033.7322580645,0.0,2.0,2.0,1.0,0.0,0.0,38.83032258064516
Turkey,2020-01,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.1612903225806452,0.5806451612903226,0.0,0.0,0.7174193548387098
Turkey,2020-02,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7241379310344827,0.0,0.0,0.0,0.0,1.5862068965517242,2.0,1.0,0.0,0.0,16.375862068965517
Turkey,2020-03,12.9,1.5483870967741935,1.032258064516129,1.032258064516129,0.0,0.25806451612903225,1.096774193548387,0.5806451612903226,3.161290322580645,0.0,0.0,497829293.41935486,0.0,2.0,2.0,1.0,0.0,0.0,43.90645161290324
Turkey,2020-04,13.6,3.0,2.0,2.0,0.0,1.0,2.1333333333333333,2.0,4.0,1.6,0.6333333333333333,0.0,0.0,2.0,2.0,1.4,0.0,0.0,76.17666666666668
Turkey,2020-05,14.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,75.93
United States,2020-01,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.0
United States,2020-02,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9310344827586208,0.0,0.0,0.0,3448275.8620689656,0.0,0.06896551724137931,1.0,0.0,0.0,5.368275862068967
United States,2020-03,4.4,2.6129032258064515,1.2580645161290323,1.6451612903225807,2.032258064516129,0.4838709677419355,1.096774193548387,1.0,2.967741935483871,0.3225806451612903,0.16129032258064516,69393548387.09677,50774193.548387095,1.032258064516129,2.4838709677419355,1.0,9888967741.935484,26645161.29032258,45.77451612903228
United States,2020-04,14.7,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,12800000000.0,16500000.0,2.0,3.0,1.0,3333333333.3333335,0.0,72.69000000000004
United States,2020-05,13.3,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,38709677.41935484,72.69000000000004
United States,2020-06,11.1,3.0,2.466666666666667,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,70.71133333333336
United States,2020-07,10.2,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,62903.22580645161,2.0,3.0,1.0,0.0,134066666.66666667,68.98
